audio_file|text|speaker_name
100038\audio.wav|and i like to have it|indian_male
100114\audio.wav|any lady to|indian_male
100128\audio.wav|let me formulate a face to that wise|indian_male
100133\audio.wav|i don't know why|indian_male
100146\audio.wav|the desert is man's heart with vision the camel driver answered|indian_male
10015\audio.wav|a time one of you love he said|indian_male
100158\audio.wav|we got to pelisson|indian_male
100180\audio.wav|because they are still here|indian_male
100194\audio.wav|the camel rider was seated at the base of a palm tree observing the sunset|indian_male
100224\audio.wav|the boy started a strange caution|indian_male
100274\audio.wav|this is what was regan on the emerald said the alchemist when he had finished|indian_male
100280\audio.wav|i want gileadite into the wit the bone|indian_male
100366\audio.wav|not with my money|indian_male
100652\audio.wav|i seated|indian_male
100700\audio.wav|he saw that pasty mass eyes were filled with tears|indian_male
100755\audio.wav|they were given to me as a present by a king the boy said|indian_male
10077\audio.wav|he messoudia privation|indian_male
100804\audio.wav|he deforestation sang in her bedroom|indian_male
100805\audio.wav|a shoe what ending|indian_male
10083\audio.wav|well what do you like a real|indian_male
100851\audio.wav|alderman computers and to intend he travel from one place to another|indian_male
100878\audio.wav|no one can be from many places the boiled|indian_male
100902\audio.wav|i was dead but whether no time in going out and crossing the wide to the sand pits|indian_male
100913\audio.wav|a little lemon grass at present up|indian_male
10095\audio.wav|godoy gently to suit me|indian_male
100952\audio.wav|it's been a long dance she last recital and because of that she now lamberville the helio her own story|indian_male
100966\audio.wav|then i was the as|indian_male
101068\audio.wav|they are testify or tales|indian_male
101076\audio.wav|i don't know how to explain it|indian_male
101094\audio.wav|it|indian_male
101097\audio.wav|i do libertine if who is set|indian_male
101114\audio.wav|is it a deal or agent|indian_male
101134\audio.wav|a full disgust a sort of boucan do|indian_male
101226\audio.wav|the boy left as well that a way from the alchemist|indian_male
101243\audio.wav|she then bore down in his tree as the latest ran for either|indian_male
101244\audio.wav|baedeker's money|indian_male
101277\audio.wav|what's the fixed obligation the boy asked|indian_male
101326\audio.wav|on the one tentatively|indian_male
101327\audio.wav|are gold to you to|indian_male
101333\audio.wav|land was one more adapted to materialise|indian_male
101343\audio.wav|the same man was like the rest of them on drapery|indian_male
101378\audio.wav|well if i had told you you wouldn't have seen the benedicts|indian_male
10156\audio.wav|a tricoteuse en in hundreds like an ourebi detestation|indian_male
10160\audio.wav|sometimes it's better to be with the sheep who don't say anything|indian_male
101613\audio.wav|she said she was so exalted and unsay that she tallying turned|indian_male
101641\audio.wav|you can all told them from the thing|indian_male
101712\audio.wav|and not above|indian_male
101725\audio.wav|on the tutelage|indian_male
101782\audio.wav|and when they do i get mad|indian_male
101787\audio.wav|now what more or the more i mean much in dolby|indian_male
101788\audio.wav|no emile with a|indian_male
101805\audio.wav|there only mayoralties and their unions of rogues in the|indian_male
101829\audio.wav|during one of the conversations are graver told office on life|indian_male
101848\audio.wav|amen i lie i orator by and nevertire|indian_male
101908\audio.wav|it has to|indian_male
101916\audio.wav|he was brought up in it|indian_male
101968\audio.wav|i had to get a routine|indian_male
101975\audio.wav|after that eventuated|indian_male
102000\audio.wav|what the way was certain that leered been looking at them|indian_male
102010\audio.wav|you do as antonoff colonel|indian_male
102029\audio.wav|i think men as you in|indian_male
10205\audio.wav|you see he deliberately out on an a pity he is|indian_male
102064\audio.wav|but in his heart he knew that it did matter|indian_male
102148\audio.wav|does a man's heart always happen the bystanders|indian_male
102149\audio.wav|a deities such a cushion on an i make it ease of rosings to have|indian_male
102161\audio.wav|i bring the kids in the calm|indian_male
102212\audio.wav|the man was speaking the language of alchemy|indian_male
102276\audio.wav|he bought he gets through the night till you tell|indian_male
102301\audio.wav|i am proud of you|indian_male
102351\audio.wav|a friend had told the boy about the shop and he had taken a ship to|indian_male
102357\audio.wav|the dog has certainly seemed to rotate|indian_male
102385\audio.wav|the boy man and continued the|indian_male
102485\audio.wav|the arab accepted them without a word|indian_male
102584\audio.wav|richard hare there was the deep or by|indian_male
10261\audio.wav|from there he could see of it in the distance|indian_male
102636\audio.wav|glad he took the tea out of that|indian_male
102644\audio.wav|do you mind if i read out here|indian_male
102746\audio.wav|the young man will begin insistent creator speak of it and new trianon them|indian_male
102769\audio.wav|a line of blame high can be seen in the atmosphere|indian_male
102834\audio.wav|but instead of being sad and he was happy|indian_male
102857\audio.wav|they all immediately|indian_male
